id_parc;nom_usuel;code_insee;nom_commune;code_dept;code_reg;date_delivrance_recipisse_prefecture;date_depot_demande_autorisation;date_delivrance_avis_autorite_environnementale;date_delivrance_rejet;date_delivrance_autorisation;date_delivrance_refus;date_debut_construction;date_mise_en_service;date_debut_demantelement;date_cessation_activite;etat_parc;statut_admin;statut_parc;date_arrete_prefectoral_complementaire;contentieux;repowering;repowering_substantiel;repowering_notable;type;date_depot_demande_autorisation_repowering;date_repowering;date_delivrance_avis_autorite_environnementale_repowering;date_delivrance_autorisation_repowering;nom_exploitant;siret;date_maj
0003012835;CEPE LE LANGROIS;52092;CHALANCEY;52;44;;2017-08-01;;;2020-05-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE LE LANGROIS;;2022-10-20
0003012835;CEPE LE LANGROIS;52446;SAINT-BROINGT-LES-FOSSES;52;44;;2017-08-01;;;2020-05-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE LE LANGROIS;;2022-10-20
0003012835;CEPE LE LANGROIS;52499;VAILLANT;52;44;;2017-08-01;;;2020-05-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE LE LANGROIS;;2022-10-20
0003012835;CEPE LE LANGROIS;52519;VESVRES-SOUS-CHALANCEY;52;44;;2017-08-01;;;2020-05-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE LE LANGROIS;;2022-10-20
0003012843;Vents de la Moivre I;51490;ST JEAN SUR MOIVRE;51;44;;2017-07-20;2019-04-30;;2019-12-13;;2021-12-23;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 4;43483627600023;2022-11-18
0003012845;SAS LES VENTS DE LA MOIVRE 3;51022;AULNAY L AITRE;51;44;;2017-07-20;2019-04-30;;2019-12-13;;2021-11-22;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 3;87955890600019;2022-11-19
0003012845;SAS LES VENTS DE LA MOIVRE 3;51141;LA CHAUSSEE SUR MARNE;51;44;;2017-07-20;2019-04-30;;2019-12-13;;2021-11-22;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 3;87955890600019;2022-11-19
0003012846;Les vents de la Moivre IV;51022;AULNAY L AITRE;51;44;;2017-07-20;2019-04-30;;2019-12-13;;2021-11-24;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 4;43483627600023;2022-11-19
0003012846;Les vents de la Moivre IV;51141;LA CHAUSSEE SUR MARNE;51;44;;2017-07-20;2019-04-30;;2019-12-13;;2021-11-24;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;SAS LES VENTS DE LA MOIVRE 4;43483627600023;2022-11-19
0003012848;Société d'Exploitation du PE de Pringy;51446;PRINGY;51;44;;2017-07-31;;;2020-06-20;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003012939;LES MATS D'EOLE;51148;CHEPPES LA PRAIRIE;51;44;;2017-10-13;2019-04-12;;2019-10-23;;2021-09-01;2022-11-01;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-09
0003012979;Projet éolien de Tarzy;08440;TARZY;08;44;;2021-07-20;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003012991;PARC EOLIEN DES GRANDS LAZARDS;57698;VATIMONT;57;44;;2018-05-08;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Parc Eolien des Grands Lazards S.A.S;;2022-10-27
0003012992;SALM ENERGIES;57004;ACHAIN;57;44;;2018-08-03;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003012992;SALM ENERGIES;57451;MARTHILLE;57;44;;2018-08-03;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003013044;Chaintrix-Bierges;51107;CHAINTRIX-BIERGES;51;44;;2017-12-29;2019-10-11;;2020-06-22;;2023-08-01;;;;;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003013044;Chaintrix-Bierges;51603;VELYE;51;44;;2017-12-29;2019-10-11;;2020-06-22;;2023-08-01;;;;;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003013282;Parc Eolien des Puyats;10075;CHAMPFLEURY;10;44;;2018-05-18;2018-10-19;;2019-07-23;;2020-09-01;2021-11-15;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003013282;Parc Eolien des Puyats;10289;PLANCY-L'ABBAYE;10;44;;2018-05-18;2018-10-19;;2019-07-23;;2020-09-01;2021-11-15;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003013342;PE Montmirail/Champaubert;51042;BAYE;51;44;;2016-12-29;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003013342;PE Montmirail/Champaubert;51113;CHAMPAUBERT;51;44;;2016-12-29;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003013475;Parc éolien du Plateau de l'Ajoux;52420;REYNEL;52;44;;2018-08-28;2021-05-17;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;ERG FRANCE;82364767200018;2022-10-20
0003013475;Parc éolien du Plateau de l'Ajoux;52044;ROCHES-BETTAINCOURT;52;44;;2018-08-28;2021-05-17;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;ERG FRANCE;82364767200018;2022-10-20
0003013498;CENTRALE EOLIENNE DES AILES DE FOULZY ;08100;CHAMPLIN;08;44;;2018-09-14;2021-03-18;;2022-04-26;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
0003013498;CENTRALE EOLIENNE DES AILES DE FOULZY ;08189;GIRONDELLE;08;44;;2018-09-14;2021-03-18;;2022-04-26;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
0003013632;Projet éolien Nouvellois ;55067;BOVIOLLES;55;44;;2019-03-27;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE NOUVELLOIS;;2022-10-21
0003013632;Projet éolien Nouvellois ;55472;SAULVAUX;55;44;;2019-03-27;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;CEPE NOUVELLOIS;;2022-10-21
0003013655;Centrale éolienne de l'Orvin;10169;GUMERY;10;44;;2018-12-21;2021-09-10;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003013655;Centrale éolienne de l'Orvin;10382;TRAINEL;10;44;;2018-12-21;2021-09-10;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003013806;PROJET EOLIEN DE CHAMPGUYON - SEPE GRIOTTES;51116;CHAMPGUYON;51;44;;2019-02-20;2021-11-10;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003013807;CENTRALE EOLIENNE LES GRANGES;51512;SAINT-QUENTIN-SUR-COOLE;51;44;;2019-03-21;2021-03-18;;2022-01-19;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
0003013808;SEPE LA BLANCHE COTE;51589;VANAULT-LE-CHATEL;51;44;;2005-01-25;;;;;2006-05-18;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003013855;Bermont;51472;ST AMAND SUR FION;51;44;;2019-05-21;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003013981;COUPETZ;51178;COUPETZ;51;44;;2019-07-24;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003013993;PROJET EOLIEN DE L'EPINETTE - SEPE HAILLAME (Intervent);08268;MAISONCELLE-ET-VILLERS;08;44;;2020-04-28;2022-03-04;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-23
0003014062;LES RAINETTES;52107;CHANTRAINES;52;44;;2019-10-18;;;2022-10-11;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014066;SEPE des fontaines;51185;COURGIVAUX;51;44;;2022-01-11;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014066;SEPE des fontaines;51402;NEUVY;51;44;;2022-01-11;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014067;SEPE des champeaux;51236;LES ESSARTS LE VICOMTE;51;44;;2020-03-04;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014067;SEPE des champeaux;51395;NESLE LA REPOSTE;51;44;;2020-03-04;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014088;QUADRAN;51099;BUSSY LETTREE;51;44;;2019-11-13;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003014088;QUADRAN;51212;DOMMARTIN-LETTREE;51;44;;2019-11-13;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003014162;parc éolien des Portes de Champagne 2;51258;LA FORESTIERE;51;44;;2020-12-19;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014162;parc éolien des Portes de Champagne 2;51236;LES ESSARTS LE VICOMTE;51;44;;2020-12-19;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014287;YAWAY 2022 2;51509;SAINT-PIERRE;51;44;;2022-09-07;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014293;SOURCE DE L'ARCE;10136;EGUILLY SOUS BOIS;10;44;;2019-12-23;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003014293;SOURCE DE L'ARCE;10438;VITRY-LE-CROISE;10;44;;2019-12-23;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003014426;Eoliennes de la Haute Voie;51328;LOISY-SUR-MARNE;51;44;;2019-12-17;2021-11-24;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014426;Eoliennes de la Haute Voie;51340;MAISONS EN CHAMPAGNE;51;44;;2019-12-17;2021-11-24;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014428;Parc éolien de Fromentières;51042;BAYE;51;44;;2020-06-22;;;;;2025-12-12;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-25
0003014428;Parc éolien de Fromentières;51263;FROMENTIERES;51;44;;2020-06-22;;;;;2025-12-12;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-25
0003014428;Parc éolien de Fromentières;51304;JANVILLIERS;51;44;;2020-06-22;;;;;2025-12-12;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-25
0003014493;SEPE VILLIERS-AUX-CHENES;52178;DOULEVANT-LE-CHATEAU;52;44;;2020-05-12;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003014565;Parc éolien de Baudignécourt;55150;DEMANGE-BAUDIGNECOURT;55;44;;2005-12-02;;;2006-06-19;;2008-07-02;2011-06-17;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-27
0003014607;Parc éolien de Nuisement et Cheniers;51146;CHENIERS;51;44;;2020-09-21;2022-09-29;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Parc Eolien de Nuisement et Cheniers S.A.S.;;2022-10-27
0003014607;Parc éolien de Nuisement et Cheniers;51409;NUISEMENT-SUR-COOLE;51;44;;2020-09-21;2022-09-29;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Parc Eolien de Nuisement et Cheniers S.A.S.;;2022-10-27
0003014614;Saint-Bon;51473;SAINT-BON;51;44;;2020-09-28;;;;;2024-10-24;;;;;Autorisation;En instruction;;;;;;;;;;;EDPR France Holding SAS;;2022-10-20
0003014616;CE vallée de la craie;51354;MARSON;51;44;;2020-10-01;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014616;CE vallée de la craie;51436;POGNY;51;44;;2020-10-01;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014616;CE vallée de la craie;51616;VESIGNEUL-SUR-MARNE;51;44;;2020-10-01;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003014630;PROJET EOLIEN DE VOUE - SEPE GIROLLES;10442;VOUE;10;44;;2020-08-28;;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-23
0003014830;Ferme éolienne Argonne Champenoise 1;51214;DOMMARTIN-VARIMONT;51;44;;2021-03-26;;;2021-08-27;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003014831;Ferme éolienne Argonne Champenoise 2;51549;SOMME-YEVRE;51;44;;2022-06-26;;;2022-09-24;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-21
0003014877;Projet éolien de Dainville-Bertheville;55142;DAINVILLE BERTHELEVILLE;55;44;;2008-02-16;;;;;2016-12-09;2017-10-01;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-11
0003014879;Projet éolien de Rembercourt;55423;REMBERCOURT SOMMAISNE;55;44;;2017-10-16;;;;;2021-04-13;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-27
0003100091;Les Raffauds 2;79136;ALLOINAY;79;75;;2015-12-16;2017-01-13;;2018-07-02;;2019-11-04;2020-10-08;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-12
0003100106;Ferme éolienne des Terres Noires SAS;87003;ARNAC-LA-POSTE;87;75;;2016-01-18;2016-09-26;;2017-12-21;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-04
0003100106;Ferme éolienne des Terres Noires SAS;87149;SAINT-HILAIRE-LA-TREILLE;87;75;;2016-01-18;2016-09-26;;2017-12-21;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-04
0003100115;CROIX CHALAIS;86159;MILLAC;86;75;;2015-12-17;2018-07-13;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003100119;Ferme eolienne de Genouille;86104;GENOUILLE;86;75;;2015-12-10;;;2018-04-25;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-04
0003100121;SAS Parc éolien du Bois Merle;86063;CHATAIN;86;75;;2015-12-25;2016-08-08;;2018-05-15;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Sas Parc Éolien Du Bois Merle;51328199800049;2022-10-20
0003100121;SAS Parc éolien du Bois Merle;86266;SURIN;86;75;;2015-12-25;2016-08-08;;2018-05-15;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Sas Parc Éolien Du Bois Merle;51328199800049;2022-10-20
0003100123;Energie Eolienne de le Vigeant;86289;LE VIGEANT;86;75;;2018-04-06;;;;;;2022-03-21;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-11-24
0003100598;EOL D AUNIS;17080;CHAMBON;17;75;;2016-03-01;2016-09-20;;2018-03-23;;2019-08-01;2020-07-08;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;LHI GII2 WP AUNIS 2494 SAS	;81229605100012;2022-10-15
0003100598;EOL D AUNIS;17203;LANDRAIS;17;75;;2016-03-01;2016-09-20;;2018-03-23;;2019-08-01;2020-07-08;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;LHI GII2 WP AUNIS 2494 SAS	;81229605100012;2022-10-15
0003102024;FERME EOLIENNE DE ST MARD;17359;ST MARD;17;75;;2016-11-04;2018-05-30;;2019-10-30;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Ferme Eolienne De St Mard;81786716100017;2022-10-20
0003102033;CENTRALE EOLIENNE LA PLAINE DES FIEFS;17166;FORGES;17;75;;2016-11-03;2018-08-28;;2019-09-06;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-10
0003102050;Ferme Eolienne de St Fraigne;16317;ST FRAIGNE;16;75;;2016-09-29;2017-10-03;;2018-11-08;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-06-28
0003102059;GOURVILLETTE ENERGIES;17180;GOURVILLETTE;17;75;;2016-11-15;2018-05-25;;2020-09-10;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003102136;CENTRALE EOLIENNE DE LA FORGE;87097;VAL D'ISSOIRE;87;75;;2016-12-15;2018-06-22;;2019-05-23;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-10
0003102200;La Couture Energie;16194;LUPSAULT;16;75;;2016-12-07;2018-08-29;;2020-02-27;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003102200;La Couture Energie;16248;ORADOUR;16;75;;2016-12-07;2018-08-29;;2020-02-27;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-22
0003102230;Ferme Eolienne de Villegats;16110;COURCOME;16;75;;2018-08-23;;;;;2019-11-12;2021-02-16;;;;Autorisation;En instruction;;;;;;;;;;;Ferme Eolienne de Villegats;81937069300023;2022-10-21
0003102292;FERME EOLIENNE DE CHAMBON PUYRAVAULT;17080;CHAMBON;17;75;;2016-12-09;2018-07-26;;2020-10-22;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-28
0003102292;FERME EOLIENNE DE CHAMBON PUYRAVAULT;17293;PUYRAVAULT;17;75;;2016-12-09;2018-07-26;;2020-10-22;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-28
0003102389;CENTRALE EOLIENNE LARGEASSE;79147;LARGEASSE;79;75;;2016-12-22;;;;;2022-09-01;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003102392;SAINT SECONDIN ENERGIES;86034;BOURESSE;86;75;;2016-12-14;2018-08-13;;2019-05-14;;2021-08-01;2022-09-23;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
0003102392;SAINT SECONDIN ENERGIES;86248;ST SECONDIN;86;75;;2016-12-14;2018-08-13;;2019-05-14;;2021-08-01;2022-09-23;;;En exploitation;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
0003102401;FERME EOLIENNE DE ROMAZIERES;17301;ROMAZIERES;17;75;;2016-12-21;2019-02-22;;2020-06-16;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-19
0003102401;FERME EOLIENNE DE ROMAZIERES;17416;SALEIGNES;17;75;;2016-12-21;2019-02-22;;2020-06-16;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-19
0003102402;CENTRALE EOLIENNE DES CHAGNASSES;17132;CRAMCHABAN;17;75;;2016-11-23;2019-01-03;;2022-11-28;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-11-25
0003102403;CROIX DE MEROTTE;86159;MILLAC;86;75;;2016-12-27;2018-07-16;;2019-03-22;;2021-07-26;;;;En construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-26
0003102424;PARC EOLIEN N°1 DES COLLINES DU SUD GUER;23201;SAINT-HILAIRE-LA-PLAINE;23;75;;2016-12-27;2019-05-15;;;;;;;;;Autorisation;En instruction;;;;;;;;;;;Exploitant anonymisé;;2022-10-25
0003102861;Ferme éolienne de Saint Secondin;86248;ST SECONDIN;86;75;;2017-04-27;2018-11-14;;2019-10-16;;;;;;En attente de construction;Autorisation;Autorisé;;;;;;;;;;;Exploitant anonymisé;;2022-10-20
